(1:0.213758,2:0.213758);
(1:1.184831,2:1.184831);
(1:0.316083,2:0.316083);
(1:0.543578,2:0.543578);
(1:0.308444,2:0.308444);
(1:0.206960,2:0.206960);
(1:1.773512,2:1.773512);
(1:0.547657,2:0.547657);
(1:0.189339,2:0.189339);
(1:0.440030,2:0.440030);
(1:0.134969,2:0.134969);
(1:0.037555,2:0.037555);
(1:0.318420,2:0.318420);
(1:0.270661,2:0.270661);
(1:0.217613,2:0.217613);
(1:0.149362,2:0.149362);
(1:0.118693,2:0.118693);
(1:1.003388,2:1.003388);
(1:2.445323,2:2.445323);
(1:0.061574,2:0.061574);
(1:0.170844,2:0.170844);
(1:0.494091,2:0.494091);
(1:0.337337,2:0.337337);
(1:0.810205,2:0.810205);
(1:0.263821,2:0.263821);
(1:0.218628,2:0.218628);
(1:1.163563,2:1.163563);
(1:0.043541,2:0.043541);
(1:0.221606,2:0.221606);
(1:0.013461,2:0.013461);
(1:0.818353,2:0.818353);
(1:0.679090,2:0.679090);
(1:0.420891,2:0.420891);
(1:0.265663,2:0.265663);
(1:0.110938,2:0.110938);
(1:0.278666,2:0.278666);
(1:0.114220,2:0.114220);
(1:0.487504,2:0.487504);
(1:0.029654,2:0.029654);
(1:0.406291,2:0.406291);
(1:0.582250,2:0.582250);
(1:0.265381,2:0.265381);
(1:0.014884,2:0.014884);
(1:1.197761,2:1.197761);
(1:0.030568,2:0.030568);
(1:0.020434,2:0.020434);
(1:0.404030,2:0.404030);
(1:0.031206,2:0.031206);
(1:0.034761,2:0.034761);
(1:1.179764,2:1.179764);
(1:0.147428,2:0.147428);
(1:0.200943,2:0.200943);
(1:0.630459,2:0.630459);
(1:1.016133,2:1.016133);
(1:0.002051,2:0.002051);
(1:1.421016,2:1.421016);
(1:0.635649,2:0.635649);
(1:0.373673,2:0.373673);
(1:0.110661,2:0.110661);
(1:0.259607,2:0.259607);
(1:1.026426,2:1.026426);
(1:0.023017,2:0.023017);
