"V1","V2","V3","V4","V5","V6","V7","V8"
65,61,30,0,0,0,0,0
62,63,65,0,0,0,0,0
60,61,63,0,0,0,0,0
71,71,59,5,0,0,0,0
64,66,73,45,0,0,0,0
76,75,81,79,0,0,0,0
64,62,57,84,0,0,0,0
89,91,90,89,0,0,0,0
71,69,79,89,0,0,0,0
99,100,93,84,0,0,0,0
103,102,111,101,0,0,0,0
116,115,113,118,0,0,0,0
116,116,123,137,0,0,0,0
143,146,128,132,0,0,0,0
165,166,181,177,53,0,0,0
265,263,257,205,211,0,0,0
293,294,301,330,299,0,0,0
394,393,390,394,413,0,0,0
748,750,738,749,784,6,0,0
2508,2508,2540,2754,3812,5566,5572,5572
160771,160771,160771,160771,160771,160771,160771,160771
