"V1","V2","V3","V4","V5","V6","V7","V8"
16,16,10,0,0,0,0,0
18,18,12,0,0,0,0,0
13,13,15,0,0,0,0,0
14,14,16,1,0,0,0,0
19,18,15,9,0,0,0,0
15,16,20,18,0,0,0,0
14,13,14,19,0,0,0,0
17,18,19,23,0,0,0,0
18,18,18,22,0,0,0,0
29,27,20,21,0,0,0,0
20,22,29,18,0,0,0,0
26,26,23,31,0,0,0,0
26,26,30,34,0,0,0,0
44,43,42,32,1,0,0,0
46,46,44,42,22,0,0,0
49,50,49,61,57,0,0,0
51,50,56,60,66,0,0,0
82,83,80,80,99,0,0,0
181,181,181,176,164,82,0,0
496,496,501,547,785,1112,1194,1194
198806,198806,198806,198806,198806,198806,198806,198806
