"V1","V2","V3","V4","V5"
1.51249602969792e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
4.01248946721515e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
3.01249209220826e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
4.51248815471859e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
1.76249537344964e-05,1.2624966859462e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
3.26249143595998e-05,3.01249209220826e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
4.01248946721515e-05,5.26248618597376e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
2.26249406095309e-05,3.5124907797117e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
4.76248749847032e-05,3.01249209220826e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
5.01248684222204e-05,5.76248487347721e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
5.51248552972549e-05,3.5124907797117e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
4.01248946721515e-05,6.7624822484841e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
8.01247896724271e-05,6.26248356098065e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
7.26248093598754e-05,6.01248421722893e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
7.76247962349099e-05,0.000105124724047599,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
9.51247502975305e-05,9.0124763422496e-05,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
0.000177624533735599,0.000145124619047875,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
0.000180124527173116,0.000237624376236012,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
0.000360124054674357,0.000322624153111598,1.24999671875861e-07,1.24999671875861e-07,1.24999671875861e-07
0.00262261811562745,0.00275761776125338,0.00410011423720013,0.00410011423720013,0.00410011423720013
0.995897510769034,0.995897510769034,0.995897510769034,0.995897510769034,0.995897510769034
