"V1","V2","V3","V4","V5","V6","V7","V8"
14,12,4,0,0,0,0,0
11,11,13,0,0,0,0,0
10,10,12,0,0,0,0,0
21,22,18,0,0,0,0,0
18,19,18,8,0,0,0,0
19,17,20,13,0,0,0,0
21,22,18,19,0,0,0,0
21,22,24,19,0,0,0,0
18,17,23,26,0,0,0,0
18,18,16,33,0,0,0,0
22,22,21,24,0,0,0,0
37,37,33,25,0,0,0,0
24,25,30,27,0,0,0,0
39,38,34,35,0,0,0,0
45,45,47,41,15,0,0,0
46,46,45,57,58,0,0,0
70,71,70,66,82,0,0,0
118,118,121,99,90,0,0,0
179,179,176,196,178,60,0,0
478,478,486,541,806,1169,1229,1229
198771,198771,198771,198771,198771,198771,198771,198771
