"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",9.79270154862887e-09,9.67688202361377e-09,9.3443142443898e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"2",1.03609005335211e-08,1.01530946986729e-08,1.02143103775026e-08,7.8877162010386e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"3",9.93069724667033e-09,1.01281145338006e-08,9.56378851166068e-09,9.8644529472205e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"4",1.12847497726235e-08,1.13582814665754e-08,1.14920942929317e-08,1.05579595052372e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"5",1.21743658971148e-08,1.19634877205324e-08,1.10711526082511e-08,1.04414666016868e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"6",1.14710942367912e-08,1.13615819151985e-08,1.25841563265632e-08,1.14838814685345e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"7",1.32125457022289e-08,1.3278307357081e-08,1.31965838585946e-08,1.32901583021763e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"8",1.16860214182139e-08,1.19076995199547e-08,1.21876822140887e-08,1.22354899983546e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"9",1.26015338474273e-08,1.25875019695835e-08,1.2536298545392e-08,1.39142395360287e-08,7.38231781925938e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"10",1.26001470336647e-08,1.25452255000861e-08,1.24397896161391e-08,1.21998434310545e-08,7.7891016534123e-09,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"11",1.49763668678432e-08,1.46830163247157e-08,1.43786949947904e-08,1.32264956319086e-08,1.09343564603218e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"12",1.76896073287381e-08,1.804559749251e-08,1.7750086016943e-08,1.651764000193e-08,1.40748629786503e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"13",1.97202882474291e-08,1.97414135499101e-08,1.97423955337004e-08,1.83403695259467e-08,1.64042837155148e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"14",2.0508816378989e-08,2.0519832150213e-08,2.04489541307901e-08,2.17904324564672e-08,1.76591398701274e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"15",2.79681920983557e-08,2.78997394049718e-08,2.73769040231593e-08,2.31948248266647e-08,1.84364308412186e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"16",3.83119809127842e-08,3.83388909138022e-08,3.89175488122662e-08,3.81761227699116e-08,2.48979584091534e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"17",5.31400952566206e-08,5.30816210465423e-08,5.14855257797575e-08,4.76750335271259e-08,3.2348714099551e-08,7.38003785369016e-09,7.38003785369016e-09,7.38003785369016e-09
"18",1.20859693755625e-07,1.20910338894708e-07,1.1888898293403e-07,1.11426954386866e-07,6.30445167512984e-08,8.7013872143987e-09,7.38003785369016e-09,7.38003785369016e-09
"19",4.66620492173335e-07,4.66052474546273e-07,4.63581694915476e-07,4.0279638078294e-07,1.75417468362034e-07,5.43593644253491e-08,7.38003785369016e-09,7.38003785369016e-09
"20",1.98225060110997e-05,1.98231832003276e-05,1.98302153436199e-05,1.99150168016016e-05,2.02699868475663e-05,2.05288949062039e-05,2.05771955821362e-05,2.05771955821362e-05
"21",0.999979422804418,0.999979422804418,0.999979422804418,0.999979422804418,0.999979422804418,0.999979422804418,0.999979422804418,0.999979422804418
