"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",8.21647864924694e-08,7.76491390142169e-08,6.75123390925774e-08,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"2",9.07256963607131e-08,8.8497477329801e-08,9.01548652265471e-08,2.41815957458095e-08,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"3",7.86580152175426e-08,8.0838248239606e-08,7.22065708396958e-08,7.88027985129485e-08,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"4",1.03981896831011e-07,1.06629639651534e-07,1.08813944260988e-07,9.83097831706166e-08,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"5",1.14000193980769e-07,1.09639079719812e-07,9.92296547725834e-08,9.29022865743215e-08,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"6",1.11053264030178e-07,1.08804670622235e-07,1.22917109298704e-07,1.10853391917775e-07,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"7",1.43484507278792e-07,1.46686013827025e-07,1.47349717851361e-07,1.36497441150323e-07,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"8",1.20860427866921e-07,1.23198951659642e-07,1.26713120747322e-07,1.3662176304764e-07,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"9",1.43592233895977e-07,1.42728698817032e-07,1.42161925881805e-07,1.55881654146883e-07,7.57858014467848e-09,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"10",1.49409864204498e-07,1.48804491959313e-07,1.46579142761111e-07,1.42674422474588e-07,1.95245823602225e-08,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"11",1.86252172621752e-07,1.83801908108337e-07,1.7974811772635e-07,1.63666207160715e-07,1.10984177124126e-07,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"12",2.39198817916096e-07,2.42753212293553e-07,2.3469359199316e-07,2.19067262887656e-07,1.82021403059962e-07,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"13",2.69526904039283e-07,2.70163995380132e-07,2.72099400748101e-07,2.52356108146927e-07,2.24215923661219e-07,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"14",3.06432270146275e-07,3.06645865328267e-07,3.06348321427426e-07,3.20969831424283e-07,2.59479760175683e-07,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"15",4.20645293161207e-07,4.19564101251013e-07,4.1318608798988e-07,3.68360428480027e-07,2.93695644335323e-07,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"16",6.1492857175496e-07,6.15261293178746e-07,6.206305160006e-07,6.0459524218203e-07,4.04968669147692e-07,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"17",8.95954379331688e-07,8.94434397418052e-07,8.76060608908692e-07,8.04567549019641e-07,5.70622869697595e-07,7.38003785369015e-09,7.38003785369015e-09,7.38003785369015e-09
"18",2.023965251777e-06,2.02550592667749e-06,1.99032164306864e-06,1.86274461800353e-06,1.10160818588281e-06,3.55406902007105e-08,7.38003785369015e-09,7.38003785369015e-09
"19",7.21882956225744e-06,7.20826466739451e-06,7.17222930286806e-06,6.42080927870559e-06,3.09405363841391e-06,1.11814572260554e-06,7.38003785369015e-09,7.38003785369015e-09
"20",0.000108811359535819,0.000108825151867114,0.00010893606766352,0.000110123781944379,0.000115797229908151,0.000120845876588665,0.000121984802925764,0.000121984802925764
"21",0.999878015197074,0.999878015197074,0.999878015197074,0.999878015197074,0.999878015197074,0.999878015197074,0.999878015197074,0.999878015197074
