"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1","9","1","1","10","3","9","4","4","9","12","11","11","13","14","15","16","17","18","19","20","20","20","20","20","20"
"2","4","11","1","2","11","3","10","6","1","11","12","11","13","14","15","16","17","18","19","19","20","20","20","20","20"
"3","5","9","1","7","4","10","4","5","10","11","11","12","13","14","15","16","17","18","19","19","20","20","20","21","21"
"4","3","1","4","4","6","11","2","11","3","11","11","12","12","14","15","16","18","18","18","20","20","20","20","20","21"
"5","4","3","4","1","4","11","10","11","11","4","4","13","13","14","15","16","17","18","19","20","20","20","20","20","21"
"6","6","1","1","3","3","5","11","8","11","11","11","12","13","14","15","16","17","18","19","20","20","20","20","20","21"
"7","1","4","4","6","9","1","9","8","11","3","12","13","13","14","15","16","17","18","20","19","20","20","20","20","21"
"8","2","4","4","6","10","4","11","6","9","12","6","12","13","14","15","16","17","18","19","20","20","20","20","20","21"
"9","9","2","10","2","10","1","9","1","8","9","1","12","13","14","15","16","17","18","19","19","20","20","20","21","21"
"10","8","4","1","6","6","1","6","1","9","11","11","12","13","14","15","16","17","18","19","20","20","20","20","20","21"
"11","2","4","6","2","6","11","3","1","11","10","11","12","12","14","15","16","17","18","19","20","20","20","20","20","20"
"12","7","6","10","4","11","8","9","10","4","1","11","13","13","14","15","16","17","18","19","20","20","20","20","20","21"
"13","3","1","9","1","4","7","8","11","11","7","12","12","13","14","15","16","17","18","19","20","20","20","20","20","21"
"14","11","1","6","6","6","2","7","10","4","7","9","12","13","14","15","16","17","18","19","20","20","20","20","20","21"
"15","6","1","1","1","11","2","7","6","5","7","12","13","13","14","15","16","17","18","20","20","20","20","20","20","21"
"16","6","8","10","9","12","7","9","8","8","3","11","12","13","14","15","16","17","17","19","20","20","20","20","20","21"
"17","5","9","1","6","1","2","7","9","4","8","12","12","13","14","15","16","17","18","19","20","20","20","20","20","21"
"18","2","6","5","4","4","11","2","6","10","10","10","12","13","14","15","16","17","18","19","19","20","20","20","20","21"
"19","8","7","4","9","4","1","6","4","12","10","11","12","13","14","15","16","17","18","18","20","20","20","20","20","20"
"20","1","3","5","5","10","7","7","10","6","6","11","12","13","14","15","16","17","18","18","20","20","20","20","20","21"
"21","4","3","3","9","11","1","7","2","2","7","11","12","12","14","15","16","17","18","19","20","20","20","20","20","21"
"22","2","4","4","4","2","5","11","3","1","10","11","12","13","14","15","16","17","18","19","20","20","20","20","20","21"
"23","9","2","8","2","2","11","4","8","9","5","6","12","13","13","15","16","17","18","19","20","20","20","20","20","21"
"24","1","1","2","11","6","7","6","3","3","9","12","12","12","14","16","16","17","18","19","20","20","20","20","20","21"
"25","7","11","4","1","3","9","3","10","6","10","11","12","13","14","15","16","17","18","19","20","20","20","20","20","21"
"26","10","11","6","3","6","11","11","4","2","7","10","12","13","14","15","16","17","18","19","20","20","20","20","21","21"
"27","5","6","9","7","4","2","3","2","11","8","6","12","13","14","15","16","17","19","19","20","20","20","20","20","21"
"28","7","9","6","10","2","5","4","5","8","6","10","11","13","14","15","16","17","18","19","20","20","20","20","20","21"
"29","8","11","6","4","11","1","10","6","11","11","10","11","13","14","15","16","17","18","19","20","20","20","20","20","21"
"30","8","6","7","5","4","2","7","1","10","11","12","12","13","14","15","16","17","18","19","19","20","20","20","20","21"
"31","3","9","11","4","6","10","4","3","6","3","11","12","13","14","15","16","17","17","19","19","20","20","20","20","21"
"32","5","6","6","1","7","1","11","11","10","11","10","13","13","14","15","15","17","18","19","20","20","20","20","20","20"
"33","12","11","6","6","9","12","7","3","12","8","7","12","13","14","15","16","17","18","19","19","20","20","20","20","21"
"34","1","9","3","4","4","10","4","2","6","8","8","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"35","6","1","6","10","4","1","9","4","1","6","11","12","13","14","15","16","17","19","19","19","20","20","20","20","21"
"36","1","12","1","3","6","6","3","11","12","11","12","12","13","14","15","16","17","18","19","20","20","20","20","20","21"
"37","4","3","6","5","1","10","1","11","9","5","4","12","13","14","15","16","17","18","19","20","20","20","20","21","21"
"38","3","1","4","4","3","8","2","4","8","9","13","12","12","14","15","16","17","18","20","20","20","20","20","20","21"
"39","11","4","6","10","6","9","10","3","11","3","12","12","13","14","15","16","17","18","19","20","20","20","20","20","21"
"40","2","1","9","6","7","1","7","11","11","5","12","12","13","14","15","16","17","18","19","20","20","20","20","20","21"
"41","10","3","5","4","7","3","9","11","10","7","7","13","13","14","15","16","17","18","19","20","20","20","20","20","20"
"42","3","6","9","11","1","4","4","6","11","7","11","1","13","14","15","16","17","17","19","20","20","20","20","20","21"
"43","9","9","2","9","9","10","4","11","8","11","12","12","13","14","15","16","17","18","20","20","20","20","20","20","21"
"44","11","1","1","3","4","11","8","5","10","3","11","12","13","14","15","16","17","17","19","20","20","20","20","20","21"
"45","10","1","3","2","2","1","11","9","11","8","9","11","13","14","15","16","17","18","20","19","20","20","20","20","21"
"46","2","2","1","8","7","1","9","3","1","7","12","13","13","14","15","16","17","18","19","20","20","20","20","20","21"
"47","10","2","5","6","7","2","7","4","7","12","8","12","13","14","15","16","17","18","19","20","20","20","20","20","20"
"48","11","9","3","4","1","4","7","6","3","6","10","12","12","14","15","16","17","18","18","20","20","20","20","20","20"
"49","10","1","1","3","5","6","1","10","6","3","12","8","12","14","15","16","17","18","19","19","20","20","20","20","21"
"50","6","7","11","9","3","8","8","2","7","1","11","10","12","14","15","16","17","18","19","20","20","20","20","20","21"
