"V1","V2","V3","V4","V5","V6","V7","V8"
13.05,12.05,10.05,0.05,0.05,0.05,0.05,0.05
11.05,12.05,13.05,4.05,0.05,0.05,0.05,0.05
15.05,13.05,12.05,9.05,0.05,0.05,0.05,0.05
18.05,20.05,21.05,15.05,0.05,0.05,0.05,0.05
19.05,19.05,18.05,20.05,0.05,0.05,0.05,0.05
18.05,17.05,14.05,21.05,0.05,0.05,0.05,0.05
24.05,25.05,27.05,18.05,0.05,0.05,0.05,0.05
27.05,27.05,28.05,27.05,0.05,0.05,0.05,0.05
19.05,19.05,18.05,28.05,0.05,0.05,0.05,0.05
29.05,28.05,28.05,21.05,2.05,0.05,0.05,0.05
33.05,34.05,35.05,33.05,14.05,0.05,0.05,0.05
36.05,36.05,35.05,38.05,37.05,0.05,0.05,0.05
30.05,29.05,29.05,36.05,37.05,0.05,0.05,0.05
50.05,51.05,52.05,43.05,47.05,0.05,0.05,0.05
69.05,69.05,68.05,67.05,60.05,0.05,0.05,0.05
57.05,56.05,56.05,68.05,57.05,0.05,0.05,0.05
108.05,108.05,111.05,90.05,88.05,0.05,0.05,0.05
184.05,184.05,181.05,181.05,143.05,2.05,0.05,0.05
646.05,646.05,643.05,590.05,303.05,186.05,0.05,0.05
4235.05,4236.05,4242.05,4332.05,4853.05,5453.05,5641.05,5641.05
6769391.95,6769391.95,6769391.95,6769391.95,6769391.95,6769391.95,6769391.95,6769391.95
