"V1","V2","V3","V4","V5","V6","V7","V8"
28.05,27.05,23.05,0.05,0.05,0.05,0.05,0.05
10.05,10.05,12.05,8.05,0.05,0.05,0.05,0.05
16.05,16.05,17.05,19.05,0.05,0.05,0.05,0.05
15.05,16.05,14.05,15.05,0.05,0.05,0.05,0.05
25.05,23.05,24.05,18.05,0.05,0.05,0.05,0.05
14.05,16.05,16.05,23.05,0.05,0.05,0.05,0.05
23.05,22.05,21.05,20.05,0.05,0.05,0.05,0.05
23.05,22.05,23.05,20.05,0.05,0.05,0.05,0.05
28.05,29.05,29.05,23.05,1.05,0.05,0.05,0.05
29.05,29.05,28.05,35.05,2.05,0.05,0.05,0.05
24.05,25.05,26.05,30.05,25.05,0.05,0.05,0.05
33.05,32.05,32.05,28.05,34.05,0.05,0.05,0.05
49.05,49.05,45.05,40.05,39.05,0.05,0.05,0.05
63.05,63.05,65.05,64.05,46.05,0.05,0.05,0.05
43.05,44.05,43.05,55.05,52.05,0.05,0.05,0.05
74.05,73.05,75.05,65.05,59.05,0.05,0.05,0.05
123.05,123.05,120.05,101.05,112.05,0.05,0.05,0.05
206.05,207.05,207.05,204.05,138.05,9.05,0.05,0.05
692.05,690.05,691.05,650.05,382.05,191.05,0.05,0.05
4392.05,4394.05,4399.05,4492.05,5020.05,5710.05,5910.05,5910.05
6769122.95,6769122.95,6769122.95,6769122.95,6769122.95,6769122.95,6769122.95,6769122.95
